	faith_pd
H1	20.16297097
H10	22.087079742
H27	16.605640676
H28	22.950468002
H29	26.594605201999997
H30	21.726125850000003
H31	14.477841789000001
H32	14.544550056000002
H33	15.405189837
H34	11.918270669
H4	13.471045069999999
H5	14.80629202
H50	16.521612113000003
H51	19.334120758
H52	11.745670901
H58	7.871293756000001
H6	13.445040370000001
H7	24.686546891999996
H8	16.475918576
H9	21.396247793999997
SubGmCP1	16.407358872000003
SubGmCP10	13.538422363000002
SubGmCP11	16.268262395999997
SubGmCP13	11.080108015
SubGmCP2	10.248513816
SubGmCP3	11.30491126
SubGmCP4	12.300074719
SubGmCP5	7.696685578
SubGmCP6	12.267752105
SubGmCP7	18.501887436000004
SubGmCP8	15.652107442999998
SubGmCP9	5.766952412
SubGR1	12.545399592
SubGR2	17.484989218000003
SubGR3	9.931558654
SubGR4	13.831374061
SubGR5	8.291452252000001
SubGR6	34.023770088000006
SubGR7	19.054484963000004
SubGR8	9.68048302
SubGsCP1	16.466410242000002
SubGsCP10	17.870735202000002
SubGsCP11	16.250219284
SubGsCP12	16.013275126
SubGsCP13	19.772858371
SubGsCP2	9.875012562
SubGsCP3	18.094130797000002
SubGsCP5	16.229131023
SubGsCP7	15.432600214
SubGsCP8	13.075113890999999
SubGsCP9	17.68308038
